Scene,HashSize,Accuracy,Completion,CompletionRatio,DepthL1
office0,13,1.6157480979886476,1.5504611280570655,96.15700244903564,0.0006801451945648296
office0,14,1.5636529860738966,1.5277116240255069,96.22650146484375,0.0007824150088708848
office0,15,1.561718000233573,1.5459131058101632,96.3890016078949,0.0007515677680203225
office0,16,1.6001573569163485,1.5369256582958124,96.23299837112427,0.0007777097380312625
office0,17,1.5280451693184725,1.5475006381234053,96.22049927711487,0.000799784993432695
office0,18,1.5617491272349784,1.5512983710192343,96.12849950790405,0.0008050982614804525
office0,19,1.5589139498078814,1.5221780372243416,96.26799821853638,0.0008141259968397208
office0,20,1.5854903812599785,1.5517032845712744,96.11949920654297,0.0008708780114830006
office0,21,1.5248898187680018,1.5365646745298795,96.24950289726257,0.0007465454018529272
office0,22,1.5836538730851442,1.5557469895934732,96.12699747085571,0.000858194016473135
office0,23,1.5313275253720848,1.556110342613568,96.1139976978302,0.0008067509043030441
office0,24,1.5318037817639518,1.544923107155429,96.12500071525574,0.0008222153155656997
office1,13,1.4250565146527734,1.460762466684125,95.35899758338928,0.00033228850497835083
office1,14,1.4207019357338957,1.5372710610370799,94.95300054550171,0.0003933976131520467
office1,15,1.3569761435919738,1.5157324222808637,94.86349821090698,0.00029205598366388585
office1,16,1.352885589132233,1.5039340986727234,94.94450092315674,0.000327642692354857
office1,17,1.3212137737956755,1.5203431971479362,94.84350085258484,0.0002891364147217246
office1,18,1.3182034081875678,1.5021140063648208,94.80100274085999,0.0003049164206458954
office1,19,1.2689100759049472,1.5499260178453684,94.73999738693237,0.00029776279006910045
office1,20,1.2960883660155238,1.5669063167658612,94.68799829483032,0.00030472535854642047
office1,21,1.3136853466087155,1.5110779635794296,94.64700222015381,0.0003333106633363059
office1,22,1.3565887170471052,1.59202417092189,94.53150033950806,0.0003814523324763286
office1,23,1.320009682684584,1.5420002589433073,94.68700289726257,0.00029207424177002395
office1,24,1.3062088582607256,1.5672012023675366,94.6054995059967,0.0003392740381968906
office2,13,2.7544868322713456,2.4699535105412807,91.6890025138855,0.004139558222959749
office2,14,2.7504240444008605,2.4458288960021926,92.01949834823608,0.004089800495421514
office2,15,2.80930817436442,2.440365084354822,91.77849888801575,0.003934619962819852
office2,16,2.79146453030933,2.4380983295777354,91.91799759864807,0.003981641566497274
office2,17,2.7937254534793494,2.345199262709441,92.59700179100037,0.0037804406019859016
office2,18,2.8113807698535855,2.4021531432124354,92.15049743652344,0.003771986666833982
office2,19,2.727799037633669,2.4055467551709557,91.90599918365479,0.003931208266294561
office2,20,2.7590332638577078,2.444493185607181,91.89350008964539,0.003822316284640692
office2,21,2.7378641905303773,2.415824788781328,91.9385015964508,0.003686033232952468
office2,22,2.7988000207019277,2.3554261262473837,92.28100180625916,0.0037349553167587146
office2,23,2.783626910729431,2.350969337352228,92.19300150871277,0.0037440597225213423
office2,24,2.622557529308576,2.421280506085479,91.84399843215942,0.003741246837307699
office3,13,3.3797958211901404,2.6858108695296625,91.10199809074402,0.0019231652913731523
office3,14,2.817026183959869,2.7258117092881085,90.84749817848206,0.0021040186766185798
office3,15,3.6907903319080915,2.6919492995457652,91.02500081062317,0.002248078635602724
office3,16,4.041054628953388,2.6667173878017882,91.05550050735474,0.0022476659069070593
office3,17,3.4316754275722943,2.6651729937829174,91.34849905967712,0.002082074024656322
office3,18,3.6282308683404922,2.7518863378492973,90.93700051307678,0.002127847801602911
office3,19,3.003599324489199,2.7022802031976796,90.99900126457214,0.002159216091968119
office3,20,3.411285701398607,2.8270365089210054,90.44250249862671,0.0022638319933321327
office3,21,3.010482197785254,2.8026084984146817,90.66500067710876,0.002151400076400023
office3,22,3.7301275124923516,2.759316461566713,90.90800285339355,0.0020191151634207927
office3,23,3.49067416114847,2.8174646397554164,90.59749841690063,0.0020819097699131817
office3,24,3.2151616305318793,2.8085270239284896,90.72650074958801,0.0021542198737733997
office4,13,2.300828531913047,2.34272998165461,91.43350124359131,0.00014033660136192339
office4,14,2.219922699099092,2.3458808106691156,91.35050177574158,0.00011545839697646443
office4,15,2.2732573374880274,2.288431200737214,91.9854998588562,7.055103878883529
office4,16,2.1836869653168294,2.2939696085506416,92.00950264930725,0.00011939564501517452
office4,17,2.1946247120888414,2.3151669144197533,91.88349843025208,0.00012183854778413661
office4,18,2.20978889605146,2.3092565931738593,92.01899766921997,6.160072416605544
office4,19,2.234687628551134,2.352175155423415,91.74249768257141,0.00011341955996613251
office4,20,2.1904908748522494,2.371248464520795,91.50400161743164,7.416134053528367
office4,21,2.1587429686234287,2.3772385767645106,91.60299897193909,6.259067504288396
office4,22,2.1530095218622662,2.357286648089734,91.54899716377258,7.712477554377983
office4,23,2.1732059405327906,2.3932749412691696,91.26449823379517,9.448108357901219
office4,24,2.1723614941397527,2.377907837853966,91.4834976196289,5.2583146725737606
room0,13,2.40708259778946,1.9925998350732086,95.10949850082397,0.0010718335033743642
room0,14,2.3666453164544037,2.001057264065387,94.9999988079071,0.0010444974577694666
room0,15,2.389003487447726,1.9769764217321044,95.15349864959717,0.0009862246770353522
room0,16,2.3121644566116486,1.9523149020639938,95.22050023078918,0.0009492807294009253
room0,17,2.275859935009934,1.9745356491710904,95.11399865150452,0.0010477117029950023
room0,18,2.3268838850714255,1.944246945906011,95.3565001487732,0.000997433926386293
room0,19,2.2325690998788064,1.979770657437142,95.0659990310669,0.0010096539881487843
room0,20,2.2243336738117443,1.9992227209013769,94.89049911499023,0.0010309928256901912
room0,21,2.2513572315706534,2.005167229568825,94.8740005493164,0.00094246033768286
room0,22,2.1995291024314034,1.9705406763370248,95.08900046348572,0.001034637443808606
room0,23,2.1991500351868423,2.0106309893190497,94.78949904441833,0.000997017923509702
room0,24,2.2259245949880415,2.026114080066785,94.80699896812439,0.0011008586625393946
room1,13,2.545323987945581,1.7698360242897238,95.67750096321106,0.00024072680844255956
room1,14,2.714606144451953,1.7253225518341508,95.67000269889832,0.00028048123112967005
room1,15,2.5947746170930803,1.7277645124929402,95.72700262069702,0.0001650203557801433
room1,16,2.4037194465037013,1.743937025329696,95.64899802207947,0.00016910643125811475
room1,17,2.2478074377443136,1.717999368817336,95.69799900054932,0.0001506820012764365
room1,18,2.1783624007568347,1.7943726339277835,95.20450234413147,0.00022202534637472127
room1,19,2.351246038525338,1.7490438902278458,95.57200074195862,0.0001510760057499283
room1,20,2.0730425193680584,1.7961556191444092,95.278000831604,0.00017431693777325563
room1,21,2.2234848498547013,1.7828485921934372,95.25399804115295,0.00018946429918287322
room1,22,2.351220373703442,1.7979801281965617,95.46250104904175,0.00016750777831475716
room1,23,3.2671122146860014,1.774035290991892,95.57750225067139,0.00014246719501898042
room1,24,2.1407812128868784,1.7806629532677303,95.42400240898132,0.00012485123761507566
room2,13,2.0310463433689305,1.9660547336001297,93.51500272750854,0.004241692658979446
room2,14,2.0352576952896286,1.9777368390065635,93.38849782943726,0.004227547833579592
room2,15,1.970517656939479,1.8888508527214174,93.74150037765503,0.0045968536142027006
room2,16,1.9642251648908684,1.9003699836093038,93.8194990158081,0.004247564356774092
room2,17,1.9360290524983768,1.8766992332718182,94.18050050735474,0.00431588341598399
room2,18,1.9192955825575773,1.8980636950662766,93.82249712944031,0.004379050733405165
room2,19,1.930629836312911,1.895227502755641,93.76999735832214,0.0044207143218955025
room2,20,1.9350375760796406,1.9649210793539287,93.67750287055969,0.0044317635911284015
room2,21,1.9198473789083463,1.9301144600191604,93.5135006904602,0.004586530849337578
room2,22,1.9226646607989315,1.9790064697511565,93.34350228309631,0.004391726179164834
