Run,Scene,Sampling,HashSize,Accuracy,Completion,CompletionRatio,DepthL1
1,tg,baseline,19,3.8591346852905586,2.5168935523748464,87.7744972705841,0.00021762548385595437
1,tg,baseline,16,4.706449187208615,2.6306095790210318,86.97550296783447,0.00021218745587248122
1,tg,cropped,19,2.6739730484467916,2.735690138727945,86.8025004863739,0.00019742951735679526
1,tg,cropped,16,3.5617835080061937,2.6183141110028,87.25900053977966,9.67873347690329
1,wr,baseline,19,4.569296754147581,3.493234543869698,83.4725022315979,0.0027516198315424845
1,wr,baseline,16,4.850539178331663,3.4775933908275047,83.3424985408783,0.002568392301327549
1,wr,cropped,19,5.244513670539045,3.655558259002561,82.32499957084656,0.0030064415113884024
1,wr,cropped,16,4.935028219006006,3.634841008476414,81.92949891090393,0.0030943669116823003
1,br,baseline,19,2.102131588569576,1.9591667094583283,94.58749890327454,0.0016250811313511804
1,br,baseline,16,2.0474433500249303,1.9282766091247696,94.80950236320496,0.0016423580746049993
1,br,cropped,19,2.1309702158582278,2.034222226182868,93.85250210762024,0.0018481739971321076
1,br,cropped,16,2.2285631465254387,2.0156788616741386,93.61550211906433,0.0018272168745170347
1,ck,baseline,19,5.280333212715101,5.0919990198158365,68.04249882698059,0.0017147729522548616
1,ck,baseline,16,4.422860867077758,4.956735689371773,68.22450160980225,0.0018321185052627698
1,ck,cropped,19,4.662218198540965,5.016517667252871,66.88899993896484,0.0016663958376739174
1,ck,cropped,16,4.703084876945301,5.12532477057249,65.82599878311157,0.0017693138943286613
1,gr,baseline,19,2.097008165290164,2.915224915210286,90.94099998474121,0.0017291395124630071
1,gr,baseline,16,1.9700121767664014,2.7728115405302267,91.64999723434448,0.0016517926269443706
1,gr,cropped,19,2.0958695474462536,3.0873339177585595,90.46300053596497,0.001780045568011701
1,gr,cropped,16,1.9616354892592516,2.801007294022518,91.08099937438965,0.0016670899640303105
1,gwr,baseline,19,2.0521572743823158,2.3706555499583515,94.2264974117279,0.0010682549145712983
1,gwr,baseline,16,1.944757044483391,2.2873567616042085,94.34750080108643,0.0009964381206373218
1,gwr,cropped,19,1.9288394968452773,2.2697452929697297,94.5294976234436,0.0009595943083695602
1,gwr,cropped,16,1.914552886833651,2.364959036450477,93.84049773216248,0.0009214501915266737
1,ma,baseline,19,1.6250981123301846,2.664091925232163,87.05450296401978,0.0006023821697453968
1,ma,baseline,16,1.5665823823187282,2.6189541946012342,87.23599910736084,0.0005295126356941182
1,ma,cropped,19,1.680763862575543,2.6971613661021814,86.80700063705444,0.0006291453246376477
1,ma,cropped,16,1.6009740720637908,2.676822690795368,86.71749830245972,0.0005928330665483372
2,tg,baseline,19,2.7671201973056467,2.5101349041798593,87.642502784729,0.00014927611573511967
2,tg,baseline,16,4.289839866853909,2.728441720299954,86.6320013999939,0.00012559551123558776
2,tg,cropped,19,4.156595881205077,2.787132840229393,86.47400140762329,0.0001673429437687446
2,tg,cropped,16,3.5138466966721777,2.8779180059656464,86.51000261306763,0.00015869710523475078
2,wr,baseline,19,5.5593166921531765,3.5779097687043278,83.31149816513062,0.002518246037652716
2,wr,baseline,16,4.8977918357320105,3.4892787571214603,83.33200216293335,0.0027484567908686586
2,wr,cropped,19,4.947196085238585,3.5886686657570173,82.52149820327759,0.0031468720408156514
2,wr,cropped,16,5.155532125468355,3.5492660236957247,82.38800168037415,0.003222728264518082
2,br,baseline,19,2.1954762953739464,2.057147607593831,93.0459976196289,0.0017997828763327561
2,br,baseline,16,2.1429988888347284,2.027569521415769,93.50849986076355,0.0018432358046993613
2,br,cropped,19,2.161486776833222,2.058024225700563,93.41650009155273,0.0018445844034431502
2,br,cropped,16,2.227345151411596,2.0514271728858646,93.01649928092957,0.002125561331922654
2,ck,baseline,19,4.927223271605872,5.040108246938199,69.17750239372253,0.0014354324775922578
2,ck,baseline,16,7.6824641864729735,5.0635031048933685,68.42399835586548,0.0011007770808646455
2,ck,cropped,19,4.909927288844847,5.119071733362706,67.1459972858429,0.002087140455842018
2,ck,cropped,16,4.656041956224257,4.927580135062285,67.23600029945374,0.0011632156201812904
2,gr,baseline,19,2.085274849511163,3.027837235557441,90.64800143241882,0.0016527907064300962
2,gr,baseline,16,2.149033088583492,2.8246383079014774,91.430002450943,0.0017905475033330731
2,gr,cropped,19,2.019850882028338,3.026532862843102,90.5780017375946,0.0018184409782406874
2,gr,cropped,16,2.1603802613000282,3.0653837912286925,90.3285026550293,0.0019262253772467375
2,gwr,baseline,19,1.9037605251197778,2.2714387916411902,94.42999958992004,0.0009311665053246543
2,gwr,baseline,16,1.8736273718442689,2.251262167673457,94.74149942398071,0.000996518792817369
2,gwr,cropped,19,1.9383022950306041,2.3339214358932803,94.05750036239624,0.0009628131920180749
2,gwr,cropped,16,1.8876391191634676,2.253179285243172,94.40400004386902,0.0009258206773665734
2,ma,baseline,19,1.607232790036264,2.6874006862220763,86.91099882125854,0.0006241953997232486
2,ma,baseline,16,1.5559247833119803,2.621861795995128,87.34750151634216,0.0005252433311397908
2,ma,cropped,19,1.6837048683498308,2.7268950039539073,86.75749897956848,0.0006113678864494432
2,ma,cropped,16,1.5907089170797497,2.6712480327025627,86.98149919509888,0.0006048639988875948
3,tg,baseline,19,3.685547866363323,2.7901706633272774,86.36999726295471,0.00022448180061473977
3,tg,baseline,16,3.780658280614055,2.6088761860932683,86.5809977054596,0.0001267239781554963
3,tg,cropped,19,3.2631215083332545,3.0230939771724454,85.698002576828,0.0001500774260421167
3,tg,cropped,16,2.6437880723459033,2.641358007474877,87.30000257492065,0.00011919171356566949
3,wr,baseline,19,5.096147117725577,3.4696337751967827,84.17450189590454,0.0025535538952681236
3,wr,baseline,16,5.0161570156492425,3.497992379663728,83.70550274848938,0.0025517532776575536
3,wr,cropped,19,4.856682747982068,3.698733650113417,81.54450058937073,0.003308246232336387
3,wr,cropped,16,5.2332326483471325,3.679254747280114,81.80750012397766,0.003283983824076131
3,br,baseline,19,2.06190138341285,1.954063606216093,94.60350275039673,0.0017861553715192713
3,br,baseline,16,2.1583004972494084,1.9735982587081056,94.53449845314026,0.0017139966075774282
3,br,cropped,19,2.2017737337673067,2.0375812383841665,93.55199933052063,0.0018497235942049883
3,br,cropped,16,2.160834286409851,2.0399239046337456,93.12450289726257,0.0019907482055714354
3,ck,baseline,19,4.749815072040725,5.028349888921159,69.2995011806488,0.0015998848539311439
3,ck,baseline,16,4.471431811458629,4.841913560637175,69.76699829101562,0.001466659887228161
3,ck,cropped,19,4.9116540800474535,5.208314725541777,66.07049703598022,0.0022692465790896676
3,ck,cropped,16,4.5474539632537345,5.158937373182697,66.68099761009216,0.001620296825421974
3,gr,baseline,19,2.0385681227518235,2.9275578338960657,91.1454975605011,0.0017146892787422985
3,gr,baseline,16,1.9150455570480265,2.7604454052850143,91.64549708366394,0.0016838601368363015
3,gr,cropped,19,2.2154182781000844,2.9920748036828955,90.75350165367126,0.0019546649127732962
3,gr,cropped,16,2.1626723407046584,2.9314144306160586,90.68300127983093,0.0019427799998084083
3,gwr,baseline,19,1.8728228643094504,2.245919127167824,94.6690022945404,0.0008474301466776524
3,gwr,baseline,16,2.000837975812608,2.354893383744493,93.989497423172,0.0011336747775203548
3,gwr,cropped,19,1.9005108281698109,2.2612449387587783,94.41249966621399,0.0008510341103828978
3,gwr,cropped,16,1.8854557838490202,2.2880650135249216,94.22699809074402,0.0008979134690889623
