Scene,Setup,HashSize,Accuracy,Completion,CompletionRatio,DepthL1
office0,A,16,1.5208852789745337,1.520935621826009,96.31699919700623,0.0008714417162991595
office0,B,16,1.5390871082740019,1.5491666112181381,96.29250168800354,0.0008112053365039174
office0,C,16,1.5293619797326878,1.5322863393982655,96.20400071144104,0.0008331446224474348
office0,D,16,1.5530474335566733,1.5494065308751641,96.11999988555908,0.0008279445864900481
office1,A,16,1.3779174577608224,1.488089591783564,95.00200152397156,0.0003291476105005131
office1,B,16,1.3425207881798524,1.5372477864307248,95.08699774742126,0.0003173174491166719
office1,C,16,1.3849763068581882,1.4660467868923686,95.08600234985352,0.000286840486296569
office1,D,16,1.3659223289359743,1.5120123718595053,94.96600031852722,0.0003592095936255646
office2,A,16,2.74153746796907,2.3649710781097646,92.2320008277893,0.003906350320903584
office2,B,16,2.8792995945964424,2.3072811201246353,92.53900051116943,0.0039086342439986765
office2,C,16,2.8220852739563678,2.2987078561602434,92.77700185775757,0.003803790605161339
office2,D,16,3.028946351122088,2.236273256153713,93.02999973297119,0.003853247471852228
office3,A,16,3.1414530515814625,2.6613321108033707,91.07499718666077,0.002297372884640936
office3,B,16,3.220460402690354,2.6960160744356885,90.99699854850769,0.0021015062884544022
office3,C,16,3.2638508504881614,2.6250488821907165,91.41849875450134,0.0020865107217105106
office3,D,16,3.4498363151472664,2.6785729453597953,91.13100171089172,0.002213823245256208
office4,A,16,2.257477808697864,2.299129201006087,91.93199872970581,0.00010026755035141832
office4,B,16,2.2049846831604745,2.2528314962783678,92.22000241279602,7.304905693672481
office4,C,16,2.2425283147991952,2.2923240181482485,92.07599759101868,8.274339506897377
office4,D,16,2.266818587640989,2.231472597164439,92.3479974269867,9.396736118105764
room0,A,16,2.2911521687119065,1.9747357524536626,94.9620008468628,0.0009387485988554545
room0,B,16,2.374102754076574,1.9970043677071632,94.94550228118896,0.0010452438800712116
room0,C,16,2.2454161899915275,1.994840992062016,94.93399858474731,0.0011532379176060203
room0,D,16,2.380335241160629,1.9642366220417546,95.14700174331665,0.0010266059689456597
room1,A,16,2.49938187762985,1.7383137037104215,95.58500051498413,0.00023090376544132596
room1,B,16,2.5849445553869264,1.733805015445681,95.54250240325928,0.00016938179214776028
room1,C,16,2.3005479177415205,1.7863375698073498,95.41800022125244,0.0002205332748417277
room1,D,16,2.483863131788687,1.7302280203856042,95.864999294281,0.0001986912820939324
room2,A,16,1.9579750028189402,1.88249590841311,93.83950233459473,0.004667463508667424
room2,B,16,1.9502691963336471,1.8636099702753601,94.23949718475342,0.0044040811189915985
room2,C,16,1.9579604164363045,1.9189945118999296,93.74899864196777,0.004549092045635916
room2,D,16,2.001041404421307,1.8806856675863273,94.02599930763245,0.0046595538151450455
