Run,Scene,Config,HashSize,Accuracy,Completion,CompletionRatio,DepthL1
1,office0,A,19,1.553497845938874,1.530542906266114,96.27900123596191,0.0008213267392420676
1,office0,B,19,1.5554300853999306,1.548615505761651,96.13950252532959,0.0008061854714469519
1,office0,C,19,1.7274148720651792,1.6357368203586469,95.57849764823914,0.0009245650289813057
1,office0,D,19,1.6715885152937693,1.5752844672538413,96.10000252723694,0.0008880674613465089
1,office1,A,19,1.3208057047969233,1.5433598697443616,94.77049708366394,0.0002883035222112085
1,office1,B,19,1.3143767309162773,1.5424030863777296,94.6274995803833,0.0003292481551397941
1,office1,C,19,1.3267447639535879,1.657494514527076,94.36100125312805,0.0003256088348280173
1,office1,D,19,1.3687223576117669,1.6232961857504113,94.718998670578,0.0003087307504756609
1,office2,A,19,2.9213368189353566,2.4282606723754707,91.92000031471252,0.00399016571464017
1,office2,B,19,2.881874052441868,2.4111616555900683,92.11050271987915,0.003818225013674237
1,office2,C,19,2.958328104951903,2.427114064173212,91.88899993896484,0.004204940705676563
1,office2,D,19,2.708980002305924,2.439572715530687,91.90449714660645,0.0041723127651494
1,office3,A,19,3.8782594909407235,2.776093088919215,90.79549908638,0.0021943174942862242
1,office3,B,19,2.8118823207186354,2.749705575669593,90.87100028991699,0.0020475445126066916
1,office3,C,19,3.255389332389585,2.736199089302432,90.5269980430603,0.0025128358174697496
1,office3,D,19,3.141518909439684,2.7512828714012523,90.62049984931946,0.0025514116714475676
1,office4,A,19,2.2408194494823745,2.375828142868658,91.5215015411377,8.693290851624624
1,office4,B,19,2.1991211332106966,2.3135669102808127,91.91849827766418,9.208163191942731
1,office4,C,19,2.1395779543864974,2.31516883477238,91.89550280570984,9.652587777964072
1,office4,D,19,2.2314863450115023,2.349584411376485,91.52600169181824,0.00016553385648876429
1,room0,A,19,2.30830093551208,1.96196652855864,95.18700242042542,0.0010423330422781873
1,room0,B,19,2.2737472459791794,1.9697995318455266,95.12500166893005,0.0010174536328122485
1,room0,C,19,2.265513560678915,2.0279718005419065,94.53200101852417,0.001136260289058555
1,room0,D,19,2.3227759148540694,2.0178410773572164,94.7064995765686,0.0009798905011848547
1,room1,A,19,2.374364453687297,1.814752187116818,95.39049863815308,0.00017415642332707648
1,room1,B,19,2.3833452950344913,1.7621037584045176,95.43949961662292,0.0002095182480843505
1,room1,C,19,2.9817802612992517,1.871672618851148,94.85399723052979,0.00019965621049777837
1,room1,D,19,2.8141728471488396,1.817663197925522,94.92800235748291,0.0001685110305515991
1,room2,A,19,1.9249813314558915,1.9117771593888773,93.73800158500671,0.004301379522075877
1,room2,B,19,1.8781429205145428,1.8717111396995236,93.72450113296509,0.0045281554776011035
1,room2,C,19,1.9657934102479124,1.941380650127605,93.15599799156189,0.005494496872415766
1,room2,D,19,1.9387449268802481,1.9083610814209644,93.42650175094604,0.005375806722440757
2,office0,A,19,1.5624458096665443,1.536774013585167,96.08250260353088,0.0008152961527230218
2,office0,B,19,1.5941281343640301,1.5345340689339946,96.24199867248535,0.0008737842108530458
2,office0,C,19,1.6954510578816806,1.6000677093265983,95.88750004768372,0.0009803254215512425
2,office0,D,19,1.6392757332758627,1.598456778959815,95.77400088310242,0.0010492655746929813
2,office1,A,19,1.3510170671830868,1.5019204946685139,94.76850032806396,0.000330580337504216
2,office1,B,19,1.3258619252051633,1.5577488114955789,94.6465015411377,0.0002973799610117567
2,office1,C,19,1.430087812645457,1.712603974464012,94.59199905395508,0.00029609423108922783
2,office1,D,19,1.3863400348408537,1.683938871796371,94.43650245666504,0.0003160342430419405
2,office2,A,19,2.7616932246280967,2.434068376430846,91.98349714279175,0.003925058263121173
2,office2,B,19,2.7195291381917372,2.4081280953822093,92.1500027179718,0.003771357296500355
2,office2,C,19,2.738538741500059,2.513910858991731,91.67900085449219,0.004354505654191598
2,office2,D,19,2.899291860369203,2.5188129810779514,91.5785014629364,0.004625713700079359
2,office3,A,19,3.568383217826463,2.79515565966401,90.75400233268738,0.0021582583940471523
2,office3,B,19,3.0299822875410376,2.739123428904418,90.95849990844727,0.0021655338059645146
2,office3,C,19,2.9573401766066745,2.743806199792543,90.46199917793274,0.0024264050807687454
2,office3,D,19,3.46839140563718,2.727285901006016,90.5555009841919,0.0025857270884444006
2,office4,A,19,2.194072546721393,2.35513633104396,91.5880024433136,5.354710879146296
2,office4,B,19,2.2064831196511743,2.2849555477959727,92.12700128555298,9.182315920952533
2,office4,C,19,2.248960508262773,2.3244650818136137,91.65449738502502,0.0001455702886232757
2,office4,D,19,2.2273030320631717,2.313972790560494,91.47599935531616,7.656957450308255
