Scene,Setup,HashSize,Accuracy,Completion,CompletionRatio,DepthL1
office0,A,16,1.5680161743277916,1.5500530741102545,96.21549844741821,0.0008006840289453976
office0,B,16,1.655299916822187,1.5533832769822122,96.1775004863739,0.0008270154467027169
office0,C,16,1.581155857314044,1.538943158282306,96.26349806785583,0.0007725339855824132
office0,D,16,1.535955349226185,1.5240262105197802,96.35400176048279,0.0008161710866261274
office1,A,16,1.3705011555993374,1.523883785268314,94.87050175666809,0.000360076251126884
office1,B,16,1.366060832600873,1.4847752672195447,95.12450098991394,0.00034949277960549807
office1,C,16,1.3517538440149874,1.5477640905831453,94.71049904823303,0.0003440182581471163
office1,D,16,1.4006603936181317,1.5286348635069718,95.15900015830994,0.00036081246435060166
office2,A,16,2.8049689004365645,2.355307117444574,92.2249972820282,0.0037418012652779
office2,B,16,2.9915778452763258,2.319230672604071,92.45399832725525,0.0040099497709888965
office2,C,16,2.8038157565293274,2.3705499738836515,92.32950210571289,0.0038228998164413497
office2,D,16,2.9418382448274447,2.2991250465882485,92.62700080871582,0.0039012080378597602
office3,A,16,3.134936272819601,2.658212636961179,91.02699756622314,0.002128509913745802
office3,B,16,3.48471125601207,2.598393929148237,91.78950190544128,0.0020819210476474836
office3,C,16,3.195683792905342,2.6551368345210027,91.23499989509583,0.002208142541348934
office3,D,16,3.9826980150340656,2.6606881790089467,91.18499755859375,0.0020631445295293815
office4,A,16,2.235263538063312,2.306751768342762,91.65949821472168,0.00010055389338958776
office4,B,16,2.164606770838151,2.259733978762185,92.31650233268738,7.933586516628566
office4,C,16,2.2541841343058016,2.259870356143752,92.21100211143494,0.00010521857802814338
office4,D,16,2.214837597253184,2.252013209095596,92.16150045394897,0.00011420421515140333
room0,A,16,2.3417748014097817,1.9412895578165477,95.4135000705719,0.000985750102699967
room0,B,16,2.356688490714732,1.965681258476145,95.16249895095825,0.0010206884326180443
room0,C,16,2.29690344750401,1.9597863976684737,95.19349932670593,0.0009401471288583707
room0,D,16,2.3801349651610115,2.012125179952382,94.71849799156189,0.0010397538062534295
room1,A,16,2.3734643210284725,1.7009591469683574,95.7764983177185,0.0002446194002914126
room1,B,16,2.9580727847570247,1.710962643324106,95.83399891853333,0.00020824384137085872
room1,C,16,2.1823169881545397,1.7900378879932726,95.27300000190735,0.0002247334350613528
room1,D,16,2.6881778993589545,1.6883693413356466,95.82849740982056,0.0001581779201842437
room2,A,16,1.8933128821478538,1.8231255997539935,94.41199898719788,0.004428483953233808
room2,B,16,1.940703115868454,1.8418952283986958,94.54900026321411,0.004292361336410977
room2,C,16,1.9756182828582074,1.905174167796581,93.88899803161621,0.0047176294174278155
room2,D,16,1.9198656543212604,1.876306763028432,94.04749870300293,0.004533992250799201
