Scene,Setup,HashSize,Accuracy,Completion,CompletionRatio,DepthL1
office0,A,16,1.5597659425713069,1.5375167715168674,96.21649980545044,0.0007505458142986754
office0,B,16,1.5483405090207905,1.5356803663413245,96.31400108337402,0.0008021869689400773
office0,C,16,1.533970523425166,1.5315421919092336,96.24999761581421,0.0007989293408172671
office0,D,16,1.585246288419444,1.5319102056185532,96.31699919700623,0.0008500152944179717
office1,A,16,1.3515087755905126,1.4941369258878128,94.9209988117218,0.0003366444843777572
office1,B,16,1.3791290277151225,1.4588886160369696,95.23950219154358,0.0003184458137184265
office1,C,16,1.3035793861183376,1.5134822380172501,94.94349956512451,0.00030839512419333914
office1,D,16,1.3596280453414251,1.4745799570591085,95.1865017414093,0.0003161046379318577
office2,A,16,2.7611679709685872,2.3468138301910786,92.43800044059753,0.0038788442907389253
office2,B,16,3.32288986105093,2.246446111256315,92.90249943733215,0.003910925079253502
office2,C,16,2.822996103021091,2.363181891949922,92.32550263404846,0.0038533242332050577
office2,D,16,2.7591743988063095,2.2237168882770395,93.11299920082092,0.003899288276443258
office3,A,16,3.276657976262043,2.672456455283498,91.13100171089172,0.0021898424165556207
office3,B,16,3.472120056451896,2.592640312500367,91.44499897956848,0.0020189889255561866
office3,C,16,2.9681055569399564,2.640397187134299,91.20550155639648,0.002197894536948297
office3,D,16,3.139533592408571,2.669195283195318,91.2975013256073,0.002181221861974336
office4,A,16,2.2224025986359064,2.2812115851702277,92.07500219345093,8.876093033904908
office4,B,16,2.195547842230374,2.2472704703528197,92.26400256156921,8.14285556316463
office4,C,16,2.1884887406460787,2.291744353373866,92.0140027999878,0.000104438890957681
office4,D,16,2.1878462227261215,2.3110678435888397,91.65549874305725,0.0001208826915899408
room0,A,16,2.2587203015157757,1.933585559787469,95.47849893569946,0.0010220617696177214
room0,B,16,2.301328698047629,1.9700441417407848,95.0909972190857,0.0010318821296095848
room0,C,16,2.267199654725384,1.9720063505921857,95.05450129508972,0.0009888498425425496
room0,D,16,2.3324111912540464,1.964870158134062,95.20000219345093,0.0009741409485286567
room1,A,16,2.46084250829827,1.7719525825639473,95.4479992389679,0.00018368453993389267
room1,B,16,2.8163348220565267,1.749308142273345,95.75449824333191,0.00021178611859795637
room1,C,16,2.4622208608028497,1.7431952684045133,95.59900164604187,0.0001927977564264438
room1,D,16,2.840234243971344,1.7208536617741368,95.67850232124329,0.00017839874999481253
room2,A,16,1.9483802219839887,1.9293641750800747,93.55300068855286,0.004565989365801215
room2,B,16,1.9425458713261627,1.9073449860619665,93.83649826049805,0.004555923806037754
room2,C,16,1.9667248458169602,1.9013588120678795,93.76850128173828,0.004163893026998267
room2,D,16,1.906094961901424,1.8817200406197827,93.86749863624573,0.004635713412426412
