Scene,Setup,HashSize,Accuracy,Completion,CompletionRatio,DepthL1
office0,A,16,1.573676394213636,1.5347498378805258,96.28549814224243,0.000807847118267091
office0,B,16,1.5989622451524415,1.5512381931198767,96.18149995803833,0.0007708529665251262
office0,C,16,1.5409984293261985,1.5267067264912098,96.24350070953369,0.0007983652722032275
office0,D,16,1.5939515677981495,1.5375841122628857,96.28599882125854,0.0008545096534362528
office1,A,16,1.3261774028037685,1.5228701254030899,94.85049843788147,0.00032080836263048695
office1,B,16,1.3505782572830196,1.4695628508603775,95.32250165939331,0.00034662648431549314
office1,C,16,1.3556320892903377,1.5650777359954486,94.75150108337402,0.0003533296421665
office1,D,16,1.3969149607966813,1.4537276149551697,95.3719973564148,0.00032649777494953014
office2,A,16,2.751681052953706,2.3699309834132665,92.39850044250488,0.003951447069994174
office2,B,16,2.9908483226687874,2.2463101908688508,92.67849922180176,0.003801071216003038
office2,C,16,2.7554838535633337,2.4261590368652617,92.03349947929382,0.003946346623706631
office2,D,16,3.057783734802567,2.3058589474617723,92.65199899673462,0.0038330963434418663
office3,A,16,3.443995932661826,2.6861724805477376,91.02849960327148,0.002251575824629981
office3,B,16,3.242043919628337,2.645034870023678,91.20050072669983,0.002298041363246739
office3,C,16,3.177312737993352,2.656163623955512,91.17199778556824,0.0021353453121264465
office3,D,16,4.087554108517813,2.637357513989565,90.9434974193573,0.0021745900085079484
office4,A,16,2.191207578170667,2.2743059279232507,92.19849705696106,8.190110634131997
office4,B,16,2.20772967931602,2.308283373887653,91.8274998664856,8.326958891302638
office4,C,16,2.1896832533633273,2.281304333451393,92.21600294113159,6.957862410672533
office4,D,16,2.2140885574274423,2.2429914685415313,92.27399826049805,6.23914900188538
room0,A,16,2.298563414685956,1.9735036453253922,95.0635015964508,0.001006841102935141
room0,B,16,2.360056606587761,1.937171461659769,95.2809989452362,0.0010357295650464948
room0,C,16,2.282571935217426,1.9737489416871474,95.09199857711792,0.0011035888746846467
room0,D,16,2.37292748611931,1.9728622198133823,95.01850008964539,0.0010515019312151708
room1,A,16,2.354262496887848,1.782170472840979,95.44100165367126,0.0002454184823363903
room1,B,16,1.962526168688742,1.7174912007062775,95.6309974193573,0.0002043659833361744
room1,C,16,2.163845326793326,1.7768466370795668,95.63549757003784,0.0001987026735150721
room1,D,16,2.5019781397605723,1.734268268840243,95.78499794006348,0.0001484787048866565
room2,A,16,1.980219405035205,1.8820804448461501,93.91099810600281,0.004531767626758665
room2,B,16,1.9189741916469907,1.8749322878882968,94.08199787139893,0.00428867460868787
room2,C,16,1.956027833864965,1.8586541621965595,93.89950037002563,0.004519118010648526
room2,D,16,1.931735156255533,1.9100691490290151,93.97349953651428,0.004470402927836403
